instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,last_update_time,stalled_iterations,largest_iteration_offset
singlecenter-alpha_1-72-n50,50,singlecenter,961.3614,7046.4,3135.6,27.11164,3910.8,1778
singlecenter-80-n50,50,singlecenter,1056.46,7024,2783.4,23.865396,4240.6,1486.2
singlecenter-77-n50,50,singlecenter,882.9248,6966.6,2987.2,25.775556,3979.4,1256.8
singlecenter-alpha_1-78-n50,50,singlecenter,1024.2926,7043,2780.8,23.62295,4262.2,1180
singlecenter-alpha_3-100-n100,100,singlecenter,1534.026,5013,4864.6,58.24552,148.4,883.2
singlecenter-alpha_3-94-n100,100,singlecenter,1892.506,4864.2,4344.8,53.1797,519.4,838
singlecenter-alpha_3-99-n100,100,singlecenter,1375.788,4987,4338,52.05148,649,584
singlecenter-94-n100,100,singlecenter,1890.898,4951.6,4758,57.70226,193.6,1201.4
singlecenter-alpha_1-100-n100,100,singlecenter,1534.078,5002.2,4771.6,57.2588,230.6,883.2
singlecenter-alpha_1-91-n100,100,singlecenter,1652.328,4933.8,4429.2,53.9999,504.6,1021.2
singlecenter-alpha_3-92-n100,100,singlecenter,1748.696,5004.8,4169,49.98206,835.8,972
singlecenter-alpha_3-96-n100,100,singlecenter,1657.06,4940,4353.6,52.92658,586.4,518.2
singlecenter-alpha_3-98-n100,100,singlecenter,1742.716,5026.2,4476.6,53.4729,549.6,782.8
singlecenter-alpha_3-91-n100,100,singlecenter,1651.836,4958,4448.2,53.95152,509.8,1021.2
singlecenter-alpha_1-95-n100,100,singlecenter,1569.504,4922.6,4590.6,55.86224,332,741
singlecenter-95-n100,100,singlecenter,1567.406,4982.4,4608,55.55004,374.4,741
singlecenter-alpha_1-92-n100,100,singlecenter,1748.696,5005,4169,49.96622,836,972
singlecenter-100-n100,100,singlecenter,1534.078,5009.2,4771.6,57.11808,237.6,883.2
singlecenter-alpha_1-97-n100,100,singlecenter,1677.26,4962.2,4588,55.5508,374.2,658.6
singlecenter-alpha_3-95-n100,100,singlecenter,1570.35,4946.8,4583.4,55.68078,363.4,741
singlecenter-93-n100,100,singlecenter,1610.874,4978,4183,50.4202,795,434.2
singlecenter-99-n100,100,singlecenter,1375.788,5007.4,4338,52.04272,669.4,584
singlecenter-alpha_1-98-n100,100,singlecenter,1742.622,5030.4,4596.8,54.85948,433.6,782.8
singlecenter-alpha_1-96-n100,100,singlecenter,1657.06,4973,4353.6,52.61012,619.4,518.2
singlecenter-98-n100,100,singlecenter,1742.622,5024.2,4596.8,54.92228,427.4,782.8
singlecenter-97-n100,100,singlecenter,1676.832,5016.6,4592.8,54.96176,423.8,658.6
singlecenter-alpha_1-94-n100,100,singlecenter,1890.184,4960.2,4713.2,57.05062,247,1201.4
singlecenter-alpha_3-97-n100,100,singlecenter,1676.832,4971.6,4592.8,55.4644,378.8,658.6
singlecenter-alpha_1-99-n100,100,singlecenter,1375.788,4962.6,4338,52.5448,624.6,584
singlecenter-alpha_1-93-n100,100,singlecenter,1610.874,4946.2,4183,50.5998,763.2,434.2
singlecenter-96-n100,100,singlecenter,1657.06,4985,4353.6,52.48794,631.4,518.2
singlecenter-92-n100,100,singlecenter,1748.696,4982.8,4169,50.18686,813.8,972
singlecenter-alpha_3-93-n100,100,singlecenter,1609.666,5049.2,4338,51.5682,711.2,511.8
singlecenter-91-n100,100,singlecenter,1650.054,4960.4,4454.4,53.98416,506,1021.2
