instance_name,num_nodes,instance_type,alpha,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
uniform-92-n100,100,uniform,1,748.4571,817.6492000000001,69.1921,109.2446%,1216.8,1185.0,60.023019999999995,58.46656,31.8,133.0
uniform-92-n100,100,uniform,2,748.4112,634.1265999999999,-114.2846,84.7297%,2014.8,1784.4,60.00884,53.22841999999999,230.4,272.6
uniform-92-n100,100,uniform,3,748.4112,581.729,-166.6822,77.7285%,2255.2,2022.0,60.016180000000006,53.79818,233.2,521.0

uniform-94-n100,100,uniform,1,769.1720,859.8264000000001,90.6544,111.7860%,1216.6,1186.2,60.028499999999994,58.43296,30.4,106.2
uniform-94-n100,100,uniform,2,769.8060,644.1846,-125.6214,83.6814%,2031.2,1861.8,60.01002,54.95922,169.4,185.2
uniform-94-n100,100,uniform,3,769.4268,598.0870000000001,-171.3398,77.7315%,2288.2,2010.2,60.015460000000004,52.66446,278.0,392.4

uniform-96-n100,100,uniform,1,791.8532,840.659,48.8058,106.1635%,1217.6,1189.6,60.03088,58.509479999999996,28.0,109.2
uniform-96-n100,100,uniform,2,791.8532,721.6778,-70.1754,91.1378%,2002.6,1691.6,60.00816,50.812599999999996,311.0,340.6
uniform-96-n100,100,uniform,3,792.4655,654.7305999999999,-137.7349,82.6194%,2285.0,1997.4,60.01176,52.31368,287.6,419.0

uniform-95-n100,100,uniform,1,789.6482,865.875,76.2268,109.6533%,1207.8,1171.0,60.02036,58.15863999999999,36.8,113.6
uniform-95-n100,100,uniform,2,789.6085,728.0794,-61.5291,92.2076%,2029.2,1823.4,60.0188,53.72784,205.8,311.2
uniform-95-n100,100,uniform,3,789.6085,639.5162,-150.0923,80.9916%,2297.6,1889.4,60.01578000000001,49.35734,408.2,306.2

uniform-99-n100,100,uniform,1,795.8634,822.2598,26.3964,103.3167%,1218.8,1193.4,60.037800000000004,58.756780000000006,25.4,107.2
uniform-99-n100,100,uniform,2,796.6310,689.5948,-107.0362,86.5639%,2033.8,1766.2,60.007619999999996,51.823440000000005,267.6,246.6
uniform-99-n100,100,uniform,3,796.6310,669.339,-127.2920,84.0212%,2310.4,1920.2,60.011399999999995,49.83014000000001,390.2,257.2

uniform-93-n100,100,uniform,1,766.2274,816.4204,50.1930,106.5507%,1225.0,1158.2,60.04592,56.638059999999996,66.8,71.0
