num_nodes,instance_type,alpha,runtime,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
100,uniform,1,30,783.6820,649.4563,-134.2256,-17.1276%,620.0000,378.0400,30.0255,18.1268,241.9600,143.7000
100,uniform,1,60,783.6820,648.8848,-134.7972,-17.2005%,1228.3400,556.5600,60.0233,26.9976,671.7800,249.6600
100,uniform,1,120,783.6820,648.6298,-135.0522,-17.2330%,2448.3000,790.2000,120.0241,38.3914,1658.1000,404.6800

100,uniform,2,15,783.8251,550.8386,-232.9865,-29.7243%,540.7400,405.5400,15.0147,11.2128,135.2000,131.1000
100,uniform,2,30,783.8251,549.5885,-234.2366,-29.8838%,1074.6400,717.6000,30.0136,19.9882,357.0400,266.7000
100,uniform,2,60,783.8251,548.6061,-235.2190,-30.0091%,2142.7000,1243.9400,60.0136,34.7861,898.7600,597.3800
100,uniform,2,120,783.8251,548.0395,-235.7856,-30.0814%,4276.0200,1857.0400,120.0177,52.0554,2418.9800,989.4600

100,uniform,3,15,783.6901,512.2786,-271.4114,-34.6325%,617.4200,446.8000,15.0123,10.8383,170.6200,123.3400
100,uniform,3,30,783.6901,510.3160,-273.3741,-34.8829%,1229.9800,853.4000,30.0127,20.8085,376.5800,329.8200
100,uniform,3,60,783.6901,509.5015,-274.1886,-34.9869%,2454.0400,1298.1400,60.0122,31.6999,1155.9000,556.4800
100,uniform,3,120,783.6901,508.2900,-275.4001,-35.1415%,4905.2200,2200.1400,120.0109,53.7700,2705.0800,1154.2400


50,singlecenter,1,15,838.1919,634.4132,-203.7788,-24.3117%,744.8200,201.5600,15.0124,4.0296,543.2600,106.8600
50,singlecenter,1,30,838.1919,634.1242,-204.0678,-24.3462%,1490.7400,291.0000,30.0101,5.7924,1199.7400,177.4800
50,singlecenter,1,60,838.1919,633.9060,-204.2860,-24.3722%,2971.4800,463.0800,60.0091,9.3064,2508.4000,340.2000
50,singlecenter,1,120,838.1919,633.8640,-204.3279,-24.3772%,5948.0600,525.0000,120.0105,10.4899,5423.0600,350.2400

50,singlecenter,2,15,838.1347,497.1340,-341.0007,-40.6857%,1118.1600,270.1800,15.0066,3.6074,847.9800,124.5600
50,singlecenter,2,30,838.1347,496.9518,-341.1829,-40.7074%,2237.0600,395.1200,30.0059,5.2793,1841.9400,229.8000
50,singlecenter,2,60,838.1347,496.7840,-341.3507,-40.7274%,4470.9200,756.3400,60.0072,10.1289,3714.5800,530.4800
50,singlecenter,2,120,838.1347,496.0666,-342.0681,-40.8130%,8947.6400,1981.1000,120.0069,26.4432,6966.5400,1566.3800

50,singlecenter,3,15,838.1693,432.6888,-405.4805,-48.3769%,1229.7000,392.6800,15.0053,4.8015,837.0200,201.4800
50,singlecenter,3,30,838.1693,432.4723,-405.6970,-48.4028%,2460.3600,656.7600,30.0061,8.0152,1803.6000,416.9000
50,singlecenter,3,60,838.1693,431.6641,-406.5052,-48.4992%,4917.0800,1458.3200,60.0058,17.8371,3458.7600,1045.7600
50,singlecenter,3,120,838.1693,430.5560,-407.6133,-48.6314%,9844.9000,3511.2000,120.0059,42.6523,6333.7000,2553.3600


75,singlecenter,1,15,1121.0284,867.2547,-253.7737,-22.6376%,379.0800,222.6000,15.0200,8.6692,156.4800,106.0600
75,singlecenter,1,30,1121.0284,866.3741,-254.6543,-22.7161%,750.0200,341.7600,30.0197,13.4773,408.2600,179.5000
75,singlecenter,1,60,1121.0284,864.9370,-256.0913,-22.8443%,1487.9400,470.4000,60.0212,18.7315,1017.5400,251.2400
75,singlecenter,1,120,1121.0284,864.1355,-256.8929,-22.9158%,2968.3200,678.3200,120.0197,27.2730,2290.0000,398.6800

75,singlecenter,2,15,1120.1767,683.4712,-436.7055,-38.9854%,663.0400,370.5200,15.0105,8.3455,292.5200,139.2000
75,singlecenter,2,30,1120.1767,683.1798,-436.9969,-39.0114%,1323.8400,536.5000,30.0123,12.1139,787.3400,248.7400
75,singlecenter,2,60,1120.1767,682.5563,-437.6204,-39.0671%,2643.4400,822.6400,60.0126,18.7102,1820.8000,439.4200
75,singlecenter,2,120,1120.1767,681.7631,-438.4137,-39.1379%,5278.4400,1447.5200,120.0115,33.1596,3830.9200,930.1200

